15 8 6 6 6 6 6 8 8 9 9 9 9 9 12 12 12 12 12 12 12 12 10 10 10 10 10 10 7 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 0 0 0 0 11 7 10 6 6 6 6 1 10 7 10 7
12 12 0 15 15 15 12 12 12 12 12 12 12 10 9 10 10 10 8 3 8 8 1 1 1 1 1 1 1 1 1 1 1 1 15 1 1 15 15 1 1 1 1 7 7 7 7 7 4 4 14 0 10 10 10 1 10 14 10 4 4 14 14 10 4
7 12 12 13 12 13 13 13 13 13 10 10 10 10 10 10 10 10 2 2 2 2 2 7 7 7 7 7 1 1 1 1 1 7 7 7 7 7 7 7 7 7 2 5 2 2 2 2 2 2 14 2 11 10 11 10 10 10 10 5 10 10 5 4 10
10 13 0 0 13 13 9 9 9 9 9 9 9 9 9 9 14 14 14 3 14 14 14 11 11 11 11 11 11 3 3 3 3 15 0 0 0 0 0 0 0 0 6 6 0 6 6 6 11 7 10 4 4 4 4 15 14 10 14 15 10 15 13 0 0
4 15 15 15 15 9 9 9 12 12 12 12 12 12 9 13 13 13 2 2 2 15 15 6 15 15 15 11 11 0 7 7 7 7 2 2 2 0 15 15 15 15 15 4 2 2 6 4 4 11 5 10 2 2 2 2 10 10 2 10 5 10 5 10 3
13 13 13 13 8 8 8 8 8 8 12 12 12 10 10 8 13 15 15 15 15 1 6 11 11 11 11 11 11 11 11 11 3 3 3 3 2 2 3 3 3 3 3 3 3 3 3 3 3 11 10 11 10 5 5 5 11 10 3 10 3 10 3 10 0
8 8 8 8 8 8 8 8 8 8 8 8 10 10 11 10 15 0 3 10 8 7 7 7 8 8 8 11 11 9 9 9 3 3 3 3 15 15 15 15 15 15 15 15 15 15 15 15 15 15 7 6 10 10 6 10 7 7 10 5 10 7 7 0 0
8 8 7 8 13 13 13 13 13 10 9 10 10 10 10 10 10 11 11 11 11 9 6 12 12 11 11 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 11 3 10 0 0 0 3 3 10 3 10 3 10 10 10 3 10
15 14 14 14 13 13 12 8 8 9 9 9 10 10 10 12 9 9 9 9 9 6 6 6 6 0 0 0 15 11 11 0 0 15 15 15 15 7 6 6 6 6 6 3 3 0 0 0 0 0 11 6 10 6 6 6 6 8 10 6 10 10 10 3 10
15 10 10 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 7 12 12 12 11 11 1 1 1 1 1 1 1 1 1 6 6 6 6 6 4 4 4 4 4 11 5 10 4 5 5 5 5 5 10 5 5 10 5 8 10 5
