15 14 14 14 14 14 11 11 11 11 11 11 11 14 11 11 14 14 14 11 11 0 7 0 0 0 0 1 1 1 7 7 7 7 7 7 5 5 5 5 5 7 7 7 7 7 1 1 1 11 10 1 11 10 1 11 11 10 10 0 0 10 10 10 10
10 10 15 15 15 15 14 14 14 11 11 11 11 1 1 15 8 8 8 8 3 8 8 8 8 3 7 2 2 2 2 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 11 7 10 5 5 5 5 5 9 9 9 9 9 9 10 5 10 5
10 15 15 15 15 12 12 12 12 12 12 1 1 1 15 12 12 12 12 12 9 7 7 9 9 9 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 3 3 3 3 3 3 11 7 10 0 0 6 6 6 9 8 10 6 8 10 2 8 10 9
12 12 12 12 12 12 11 11 12 12 12 11 11 11 11 11 11 11 11 11 3 11 11 11 11 11 3 3 3 3 3 6 6 6 6 6 6 6 6 6 6 3 3 3 3 3 3 3 3 3 14 15 14 14 12 11 7 7 10 4 4 0 15 6 10
10 0 0 0 10 9 9 13 13 11 8 10 10 10 8 13 13 15 3 15 0 0 0 0 7 0 0 0 0 0 0 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 11 10 5 2 11 10 0 0 0 10 0 10 0 0 10 0 0
14 14 14 13 10 10 11 11 11 12 12 15 14 14 14 14 14 14 3 3 3 15 15 7 14 14 7 7 7 7 7 5 5 5 5 5 1 1 1 1 1 1 1 7 1 1 1 1 1 11 10 2 2 2 10 2 10 10 2 11 2 2 9 2 2
9 13 13 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 11 11 1 1 6 15 15 15 3 3 3 3 3 4 4 4 4 4 4 4 4 4 7 7 7 0 0 4 4 4 4 10 11 10 4 11 4 4 4 4 9 4 9 6 6 9
0 0 10 0 0 10 9 9 10 10 10 10 10 10 11 11 11 11 11 3 11 11 11 11 11 11 4 4 4 4 4 4 4 4 4 5 5 5 5 5 5 5 5 5 5 5 7 7 11 3 10 3 3 3 3 3 12 10 10 10 10 10 11 10 6
8 13 13 13 13 0 13 8 8 8 12 10 8 8 8 8 10 10 13 13 3 13 13 6 6 6 11 11 11 1 1 1 1 1 1 1 1 2 2 2 2 2 1 1 1 1 1 1 11 6 10 1 1 1 1 1 10 10 10 10 10 10 8 10 3
12 12 12 0 12 12 13 13 13 11 13 8 8 8 8 15 8 13 3 15 15 13 13 13 6 6 4 10 10 10 4 4 3 3 3 3 3 3 3 3 3 3 3 3 3 3 6 6 6 11 10 3 2 2 10 10 10 2 10 10 2 10 10 2 10
